OSEBuildingID,BuildingType,NumberofBuildings,NumberofFloors,Latitude,Longitude,LargestPropertyUseType,PropertyGFATotal_avg,PropertyGFAParking_avg,PropertyGFABuilding(s)_avg,LargestPropertyUseTypeGFA_avg,SiteEnergyUse(kBtu)_avg,TotalGHGEmissions_avg,PropertyGFABuilding(s)_%,PropertyGFAParking_%,Dureedevie
26726,NonResidential,1.0,3.0,47.599,-122.32717,Office,22480.0,0.0,22480.0,10800.0,992334.0625,6.92,1.0,0.0,116
26728,NonResidential,1.0,4.0,47.5985,-122.32677,Hotel/Senior Care/Housing,33018.0,0.0,33018.0,23193.0,4885050.75,175.14999999999998,1.0,0.0,91
26731,NonResidential,1.0,2.0,47.5962,-122.32548,Office,26510.0,0.0,26510.0,30800.0,981392.34375,11.225,1.0,0.0,46
26759,NonResidential,1.0,1.0,47.65429,-122.32618,Non-Refrigerated Warehouse,40028.0,0.0,40028.0,33222.0,952326.59375,6.82,1.0,0.0,78
26761,NonResidential,1.0,3.0,47.65373,-122.32721,Office,44510.0,18228.0,26282.0,26282.0,2248085.625,15.67,0.59,0.41,9
26773,NonResidential,1.0,1.0,47.71705,-122.28577,Loisirs,21624.0,0.0,21624.0,21624.0,650111.75,20.34,1.0,0.0,62
26808,SPS-District K-12,1.0,1.0,47.6763,-122.3285,Education,42239.0,0.0,42239.0,48134.5,2171223.25,70.13,1.0,0.0,46
26821,SPS-District K-12,1.0,3.0,47.66828,-122.3266,Education,50297.0,0.0,50297.0,51026.0,1369224.875,30.875,1.0,0.0,91
26833,NonResidential,1.0,3.0,47.59819,-122.32599,Office,21600.0,0.0,21600.0,11600.0,1605659.3125,36.225,1.0,0.0,23
26834,NonResidential,1.0,3.0,47.59769,-122.32537,Hotel/Senior Care,20620.0,0.0,20620.0,10060.0,847495.4375,25.68,1.0,0.0,107
26838,NonResidential,1.0,5.0,47.59983,-122.32598,Hotel/Senior Care/Housing,40552.0,0.0,40552.0,40552.0,1181155.9375,52.325,1.0,0.0,106
26847,NonResidential,1.0,3.0,47.60105,-122.32542,Office,31432.0,0.0,31432.0,23059.0,1432797.6875,9.989999999999998,1.0,0.0,107
26849,NonResidential,1.0,2.0,47.59935,-122.32468,Commerce,24550.0,0.0,24550.0,13500.0,579360.65625,6.445,1.0,0.0,99
26870,SPS-District K-12,1.0,2.0,47.65753,-122.32405,Education,61052.0,0.0,61052.0,61052.0,2277979.75,44.28,1.0,0.0,16
26883,NonResidential,1.0,3.0,47.60285,-122.31458,Loisirs,25864.0,0.0,25864.0,13364.0,842628.6565,32.42,1.0,0.0,108
26905,NonResidential,1.0,3.0,47.66192,-122.30998,Hotel/Senior Care,20686.0,0.0,20686.0,20686.0,1173318.5,40.795,1.0,0.0,92
26906,NonResidential,1.0,3.0,47.6617,-122.31007,Hotel/Senior Care,22124.0,0.0,22124.0,22124.0,662317.0,4.62,1.0,0.0,87
26909,NonResidential,1.0,3.0,47.66289,-122.30863,Hotel/Senior Care,27487.0,0.0,27487.0,27487.0,1551998.4375,63.260000000000005,1.0,0.0,90
26911,NonResidential,1.0,4.0,47.66164,-122.30874,Hotel/Senior Care,23616.0,0.0,23616.0,23616.0,1758660.625,59.16,1.0,0.0,90
26922,NonResidential,1.0,3.0,47.66238,-122.30801,Hotel/Senior Care,33448.0,0.0,33448.0,33448.0,984375.75,6.859999999999999,1.0,0.0,40
26924,Nonresidential COS,1.0,2.0,47.60153,-122.31986,Loisirs,29508.0,7120.0,22388.0,11074.0,2031222.5,73.79499999999999,0.76,0.24,11
26930,NonResidential,1.0,2.0,47.60133,-122.31088,Hotel/Senior Care,74840.0,0.0,74840.0,74840.0,8355639.25,255.695,1.0,0.0,29
26933,Nonresidential COS,1.0,3.0,47.60133,-122.31088,Loisirs,20992.0,0.0,20992.0,24600.0,2235208.5,93.06,1.0,0.0,103
26939,NonResidential,1.0,2.0,47.6032,-122.30596,Education,22344.0,0.0,22344.0,22344.0,1454463.875,52.665,1.0,0.0,91
26956,NonResidential,1.0,3.0,47.62531,-122.32303,Education,31900.0,0.0,31900.0,26000.0,2449938.5,93.67500000000001,1.0,0.0,95
26961,Nonresidential COS,1.0,2.0,47.68475,-122.38257,Loisirs,29417.0,0.0,29417.0,18489.0,1527583.0625,50.58,1.0,0.0,66
26973,NonResidential,1.0,3.0,47.59737,-122.32487,Office,49299.0,0.0,49299.0,24099.0,4984781.75,112.845,1.0,0.0,107
26986,NonResidential,1.0,1.0,47.58217,-122.38479,Commerce,31841.0,0.0,31841.0,30899.0,12672748.0,385.75,1.0,0.0,19
