OSEBuildingID,BuildingType,NumberofBuildings,NumberofFloors,Latitude,Longitude,LargestPropertyUseType,PropertyGFATotal_avg,PropertyGFAParking_avg,PropertyGFABuilding(s)_avg,LargestPropertyUseTypeGFA_avg,SiteEnergyUse(kBtu)_avg,TotalGHGEmissions_avg,ENERGYSTARScore,PropertyGFABuilding(s)_%,PropertyGFAParking_%,Dureedevie
25277,NonResidential,1.0,1.0,47.56362,-122.32876,Non-Refrigerated Warehouse,22509.0,0.0,22509.0,22509.0,154958.89844999998,1.08,57.0,1.0,0.0,60
25278,NonResidential,1.0,1.0,47.56424,-122.32902,Non-Refrigerated Warehouse,39984.0,0.0,39984.0,31184.0,1240071.6875,44.6,75.0,1.0,0.0,60
25317,SPS-District K-12,1.0,2.0,47.62442,-122.31838,Education,73769.0,0.0,73769.0,73769.0,2434905.0,90.22,92.0,1.0,0.0,91
25325,NonResidential,1.0,1.0,47.62322037,-122.320017,Loisirs,26440.0,0.0,26440.0,26440.0,707866.59375,26.86,91.0,1.0,0.0,110
25361,SPS-District K-12,1.0,1.0,47.68503,-122.28267,Education,43578.0,0.0,43578.0,45370.0,1436773.875,24.63,83.0,1.0,0.0,55
25371,NonResidential,4.0,2.0,47.61791,-122.28594,Education,28500.0,0.0,28500.0,29800.0,1149336.0625,28.165,92.0,1.0,0.0,7
25462,NonResidential,1.0,3.0,47.63614,-122.33982,Office,23355.0,0.0,23355.0,21915.0,828080.6875,5.775,77.0,1.0,0.0,67
25464,NonResidential,1.0,4.0,47.63575,-122.33895,Office,30840.0,0.0,30840.0,29255.0,3481709.25,101.03999999999999,30.0,1.0,0.0,51
25513,NonResidential,1.0,1.0,47.61118,-122.288,Loisirs,21850.0,0.0,21850.0,21850.0,317005.70314999996,12.92,100.0,1.0,0.0,116
25540,NonResidential,1.0,4.0,47.60154,-122.3352,Hotel/Senior Care/Housing,45500.0,0.0,45500.0,45500.0,2663396.5,112.88499999999999,77.0,1.0,0.0,102
25553,NonResidential,1.0,3.0,47.60035,-122.33379,Hotel/Senior Care/Housing,25450.0,0.0,25450.0,25450.0,500650.34375,3.49,99.0,1.0,0.0,116
